datetime,เกิดเหตุ,temperature_F,humidity_%,pressure_in,vehicles_lt_4_wheels,vehicles_4_wheels,vehicles_gt_4_wheels,day_of_week,is_weekend,is_holiday,year
2020-01-01,0,80.92041666666667,74.97375000000001,29.818749999999998,108.0,540.0,84.0,2,0,1,2020
2020-01-02,0,81.845,78.11354166666666,29.743750000000002,104.0,448.0,96.0,3,0,0,2020
2020-01-03,0,81.63875,75.49458333333334,29.70875,95.0,383.0,107.0,4,0,0,2020
2020-01-04,0,85.61770833333333,75.92458333333333,29.66604166666667,84.0,345.0,103.0,5,1,0,2020
2020-01-05,0,83.28208333333333,78.66395833333333,29.666666666666668,80.0,375.0,97.0,6,1,0,2020
2020-01-06,0,83.51916666666666,81.13020833333333,29.715,86.0,388.0,95.0,0,0,0,2020
2020-01-07,0,80.03937499999999,92.78708333333333,29.647916666666664,92.0,390.0,98.0,1,0,0,2020
2020-01-08,0,79.24604166666667,94.24958333333332,29.61791666666667,94.0,340.0,102.0,2,0,0,2020
2020-01-09,0,82.924375,83.94,29.622708333333332,100.0,357.0,105.0,3,0,0,2020
2020-01-10,0,80.43020833333334,92.35645833333332,29.624791666666667,98.0,427.0,100.0,4,0,0,2020
2020-01-11,0,79.983125,90.39583333333333,29.715208333333333,99.0,403.0,97.0,5,1,1,2020
2020-01-12,0,74.86416666666666,100.0,29.705833333333334,86.0,404.0,99.0,6,1,0,2020
2020-01-13,0,81.52958333333333,78.55270833333334,29.67979166666667,82.0,358.0,105.0,0,0,0,2020
2020-01-14,0,80.74020833333334,76.7075,29.714166666666667,93.0,346.0,99.0,1,0,0,2020
2020-01-15,0,79.808125,76.27374999999999,29.72791666666667,90.0,361.0,103.0,2,0,0,2020
2020-01-16,0,78.91479166666666,78.038125,29.745,88.0,400.0,99.0,3,0,0,2020
2020-01-17,0,80.73854166666666,79.50291666666666,29.760208333333335,79.0,485.0,93.0,4,0,0,2020
2020-01-18,0,82.58,77.953125,29.740624999999998,82.0,648.0,98.0,5,1,0,2020
2020-01-19,0,82.28270833333333,79.45020833333334,29.74145833333333,80.0,584.0,98.0,6,1,0,2020
2020-01-20,0,82.72708333333334,76.70666666666666,29.769375,81.0,419.0,104.0,0,0,0,2020
2020-01-21,0,82.69500000000001,77.13854166666667,29.810625,86.0,391.0,98.0,1,0,0,2020
2020-01-22,0,82.235,77.045625,29.786458333333332,78.0,448.0,101.0,2,0,0,2020
2020-01-23,1,82.77979166666667,78.86,29.75708333333333,79.0,491.0,101.0,3,0,0,2020
2020-01-24,0,81.20916666666666,72.91041666666666,29.752291666666665,85.0,426.0,94.0,4,0,0,2020
2020-01-25,1,79.67375,75.02958333333333,29.72458333333333,86.0,458.0,95.0,5,1,0,2020
2020-01-26,0,80.42270833333333,78.97500000000001,29.703541666666666,87.0,458.0,99.0,6,1,0,2020
2020-01-27,1,80.54041666666667,77.718125,29.695625000000003,85.0,417.0,97.0,0,0,0,2020
2020-01-28,0,81.08895833333334,79.72708333333334,29.701666666666668,86.0,346.0,99.0,1,0,0,2020
2020-01-29,0,82.62729166666666,75.93770833333333,29.749791666666667,84.0,349.0,111.0,2,0,0,2020
2020-01-30,0,81.56416666666667,76.17458333333333,29.730208333333334,86.0,335.0,118.0,3,0,0,2020
2020-01-31,0,81.81854166666666,75.73541666666667,29.732916666666668,88.0,397.0,104.0,4,0,0,2020
2020-02-01,1,81.0425,78.56708333333333,29.832291666666666,94.0,479.0,99.0,5,1,0,2020
2020-02-02,0,82.92770833333333,70.888125,29.79104166666667,97.0,438.0,99.0,6,1,0,2020
2020-02-03,0,82.02520833333334,75.24958333333333,29.705,97.0,390.0,108.0,0,0,0,2020
2020-02-04,0,82.87145833333334,85.32354166666667,29.67979166666667,87.0,409.0,103.0,1,0,0,2020
2020-02-05,0,84.00333333333333,79.17458333333333,29.64708333333333,91.0,388.0,105.0,2,0,0,2020
2020-02-06,0,82.78083333333333,88.14583333333333,29.702291666666667,83.0,387.0,107.0,3,0,0,2020
2020-02-07,0,81.70833333333333,88.13625,29.614583333333332,84.0,389.0,97.0,4,0,0,2020
2020-02-08,0,80.518125,92.02395833333333,29.603333333333335,100.0,439.0,93.0,5,1,1,2020
2020-02-09,0,81.87354166666667,87.26958333333333,29.6575,93.0,502.0,91.0,6,1,0,2020
2020-02-10,0,79.09041666666667,93.143125,29.641666666666666,88.0,601.0,84.0,0,0,1,2020
2020-02-11,0,78.65791666666667,94.833125,29.722291666666667,75.0,436.0,94.0,1,0,0,2020
2020-02-12,0,76.76541666666667,97.25,29.668541666666666,72.0,385.0,101.0,2,0,0,2020
2020-02-13,0,81.65208333333332,84.61020833333333,29.750833333333333,83.0,420.0,101.0,3,0,0,2020
2020-02-14,0,83.030625,82.01375,29.706875,83.0,425.0,104.0,4,0,0,2020
2020-02-15,0,82.376875,78.895,29.734583333333333,98.0,512.0,98.0,5,1,0,2020
2020-02-16,0,81.35604166666667,78.403125,29.76375,106.0,580.0,99.0,6,1,0,2020
2020-02-17,1,81.21958333333333,79.374375,29.776458333333334,88.0,453.0,108.0,0,0,0,2020
2020-02-18,0,80.54541666666667,83.736875,29.784583333333334,79.0,365.0,116.0,1,0,0,2020
2020-02-19,0,81.81125,74.36354166666666,29.79375,87.0,381.0,108.0,2,0,0,2020
2020-02-20,0,81.56270833333333,74.27666666666667,29.783958333333334,90.0,357.0,103.0,3,0,0,2020
2020-02-21,0,82.29208333333334,73.75666666666667,29.821875000000002,86.0,389.0,109.0,4,0,0,2020
2020-02-22,0,81.4375,74.600625,29.824375,93.0,492.0,102.0,5,1,0,2020
2020-02-23,0,81.93791666666667,74.20645833333333,29.805000000000003,103.0,462.0,98.0,6,1,0,2020
2020-02-24,0,82.526875,71.895625,29.766666666666666,99.0,375.0,96.0,0,0,0,2020
2020-02-25,0,81.30875,75.38875,29.73645833333333,91.0,352.0,99.0,1,0,0,2020
2020-02-26,0,81.99374999999999,75.41875,29.74145833333333,81.0,367.0,101.0,2,0,0,2020
2020-02-27,0,82.22916666666667,76.15916666666666,29.715416666666666,84.0,376.0,95.0,3,0,0,2020
2020-02-28,1,82.38270833333333,76.005625,29.702083333333334,90.0,425.0,97.0,4,0,0,2020
2020-02-29,1,81.80083333333333,74.55791666666667,29.693541666666665,89.0,464.0,97.0,5,1,0,2020
2020-03-01,0,82.181875,77.09020833333334,29.79895833333333,85.0,486.0,97.0,6,1,0,2020
2020-03-02,0,80.70479166666667,72.25020833333333,29.787291666666665,79.0,523.0,110.0,0,0,0,2020
2020-03-03,0,82.92770833333334,76.16104166666666,29.7075,78.0,418.0,111.0,1,0,0,2020
2020-03-04,0,83.77083333333333,81.48270833333333,29.696875000000002,79.0,339.0,96.0,2,0,0,2020
2020-03-05,0,84.32166666666667,77.52833333333334,29.64979166666667,83.0,314.0,89.0,3,0,0,2020
2020-03-06,0,80.06854166666666,94.61062500000001,29.678749999999997,91.0,325.0,94.0,4,0,0,2020
2020-03-07,0,79.67645833333333,96.29854166666667,29.65416666666667,90.0,381.0,101.0,5,1,0,2020
2020-03-08,0,81.03208333333333,88.64520833333334,29.579583333333332,96.0,424.0,95.0,6,1,0,2020
2020-03-09,0,82.49479166666667,84.54875,29.657916666666665,91.0,394.0,101.0,0,0,0,2020
2020-03-10,0,80.129375,85.73229166666665,29.67395833333333,85.0,381.0,110.0,1,0,0,2020
2020-03-11,0,79.83333333333333,91.91645833333332,29.718958333333333,79.0,341.0,110.0,2,0,0,2020
2020-03-12,1,77.19333333333334,97.04812500000001,29.689999999999998,85.0,339.0,109.0,3,0,0,2020
2020-03-13,0,83.821875,76.48854166666666,29.74729166666667,99.0,392.0,107.0,4,0,0,2020
2020-03-14,0,85.324375,75.25395833333333,29.69666666666667,97.0,519.0,109.0,5,1,0,2020
2020-03-15,0,85.54166666666667,74.28208333333333,29.705,96.0,482.0,98.0,6,1,0,2020
2020-03-16,0,85.43541666666665,70.81041666666667,29.730416666666667,94.0,420.0,95.0,0,0,0,2020
2020-03-17,0,83.71979166666667,69.92083333333333,29.757291666666664,93.0,419.0,106.0,1,0,0,2020
2020-03-18,0,82.36729166666667,73.20104166666667,29.730833333333333,85.0,391.0,121.0,2,0,0,2020
2020-03-19,0,82.76875,68.835,29.717291666666668,81.0,366.0,116.0,3,0,0,2020
2020-03-20,1,82.550625,68.88458333333334,29.726249999999997,84.0,370.0,101.0,4,0,0,2020
2020-03-21,0,82.30833333333334,68.81875000000001,29.74416666666667,90.0,427.0,91.0,5,1,0,2020
2020-03-22,1,82.43520833333334,72.00812499999999,29.72375,96.0,436.0,97.0,6,1,0,2020
2020-03-23,0,83.73125,73.62895833333333,29.6975,90.0,378.0,105.0,0,0,0,2020
2020-03-24,0,85.10645833333334,73.86,29.65833333333333,87.0,385.0,106.0,1,0,0,2020
2020-03-25,0,84.67812500000001,72.838125,29.639583333333334,89.0,428.0,101.0,2,0,0,2020
2020-03-26,1,85.29229166666667,73.861875,29.672916666666666,92.0,335.0,97.0,3,0,0,2020
2020-03-27,1,85.735,73.94729166666666,29.69458333333333,85.0,322.0,98.0,4,0,0,2020
2020-03-28,0,84.958125,76.26145833333334,29.672291666666666,88.0,462.0,102.0,5,1,0,2020
2020-03-29,0,84.699375,74.1425,29.650833333333335,95.0,511.0,108.0,6,1,0,2020
2020-03-30,0,84.38375,69.47500000000001,29.68541666666667,88.0,411.0,109.0,0,0,0,2020
2020-03-31,0,83.885625,71.95625,29.678541666666664,86.0,418.0,103.0,1,0,0,2020
2020-04-01,0,81.763125,75.72645833333333,29.7525,81.0,441.0,103.0,2,0,0,2020
2020-04-02,0,79.65145833333334,72.88145833333333,29.76,85.0,386.0,110.0,3,0,0,2020
2020-04-03,1,83.11749999999999,76.98395833333333,29.703958333333333,86.0,383.0,110.0,4,0,0,2020
2020-04-04,0,84.26666666666667,72.76625,29.70104166666667,82.0,407.0,99.0,5,1,0,2020
